filename,width,height,class,xmin,ymin,xmax,ymax
Cars415.png,400,300,MH12NE8922,135,159,255,191
Cars373.png,400,225,TN21BC6225,163,133,263,160
Cars46.png,400,353,MH14GN9239,160,192,381,251
Cars372.png,560,420,HR26CE1485,232,276,346,312
Cars206.png,400,300,HR26BU0380,98,186,160,204
Cars212.png,400,300,KL65H4383,108,93,308,151
Cars199.png,400,266,MH01AE8017,78,87,320,150
Cars86.png,586,331,MH14DX9937,337,171,446,208
Cars365.png,600,399,TN21BZ0768,297,209,371,229
Cars82.png,400,151,UP16TC1366,189,53,263,84
Cars97.png,400,300,KA05MG1909,75,95,303,192
Cars189.png,435,290,CH01AN0001,286,238,425,283
Cars438.png,1600,1067,MH47A7313,526,608,802,671
Cars148.png,400,225,MH01BB550,137,134,220,157
Cars439.png,690,390,HR26CR3302,403,245,502,275
licence.2532225a-0b2e-11ec-9b7c-acde48001122.jpg,443,332,DL3CBF3907,23,36,424,141
Cars462.png,2592,1944,KA03MK834,1846,1234,2096,1419
Cars476.png,259,194,TN01BB5959,82,74,172,93
Cars24.png,400,300,HR26BC5514,162,198,244,223
Cars477.png,350,250,DL1CQ6477,79,181,165,213
Cars259.png,600,338,MH20EE7598,326,159,477,210
Cars461.png,3264,2448,KA13N7974,888,1502,1357,1733
Cars449.png,1024,768,KA05NB1786,382,464,642,537
Cars111.png,600,338,MH20EE7598,320,166,488,206
Cars0.png,500,268,KL01CA2555,219,119,427,177
licence.25393086-0b2e-11ec-9b7c-acde48001122.jpg,400,332,DL7CN5617,155,183,255,211
Cars500.png,650,385,DL2FFY0001,416,183,526,217
licence.25394a12-0b2e-11ec-9b7c-acde48001122.jpg,400,141,MH12BG7237,120,80,275,118
Cars302.png,500,234,KL01CC50,231,90,435,155
licence.253a2eb4-0b2e-11ec-9b7c-acde48001122.jpg,400,270,HR26CU6799,231,159,309,183
licence.25394e7c-0b2e-11ec-9b7c-acde48001122.jpg,442,333,MH01AV8866,162,227,274,248
Cars471.png,1000,667,GJ07BR1336,129,213,859,447
Cars459.png,740,412,TN37CS9005,110,167,197,202
Cars261.png,480,360,TS08ER1643,36,72,462,155
Cars473.png,1024,680,WB06F5977,190,143,977,502
Cars116.png,400,332,MK3532,149,213,269,248
Cars466.png,640,480,UP14CC6162,84,127,402,233
Cars248.png,400,300,MH12DE1433,175,146,318,180
licence.25327656-0b2e-11ec-9b7c-acde48001122.jpg,400,300,KL54A2670,151,209,246,238
Cars443.png,1280,720,TN99F2378,392,94,896,232
Cars126.png,400,300,KA05MG1909,84,101,311,185
Cars495.png,2000,1500,CH02AA1936,1007,1044,1418,1159
Cars481.png,960,1280,TN28BE0099,370,871,660,953
Cars483.png,1280,720,TN58AU1000,518,270,825,356
Cars454.png,225,225,UP32LF1607,71,124,146,140
Cars440.png,960,720,DL8CAT7434,350,581,651,656
Cars468.png,350,250,KL18S5577,188,113,293,145
Cars130.png,400,267,HR26BR9044,89,109,163,138
licence.2539456c-0b2e-11ec-9b7c-acde48001122.jpg,400,225,TN37CS2765,85,17,317,149
Cars469.png,1280,720,DL3CAK2468,220,94,1215,630
Cars482.png,1280,1015,AP05DP5666,432,840,839,975
Cars496.png,417,230,TN38BP3684,75,150,134,170
Cars486.png,1600,990,KA05MG1909,193,229,1393,717
Cars450.png,1563,1042,HR26DQ5551,628,378,1405,651
Cars487.png,417,383,RJ14TA5958,133,274,213,302
Cars491.png,1024,767,KA04MP3867,350,330,488,361
Cars446.png,960,548,MH20DV2363,682,383,810,424
Cars452.png,1024,764,DL1TAH5599,552,298,782,350
licence.25393bd0-0b2e-11ec-9b7c-acde48001122.jpg,400,300,MH15BD8877,228,182,338,211
Cars123.png,400,300,HR26BC5514,159,218,238,246
Cars490.png,1200,667,DL5CF6171,633,525,810,587
Cars255.png,400,267,MH20EJ0364,119,155,269,195
Cars434.png,675,418,KL04AL2300,424,306,518,329
Cars150.png,400,300,DL8CX4850,125,198,262,232
Cars67.png,553,275,MG14BN7077,191,219,328,256
licence.2539d2f2-0b2e-11ec-9b7c-acde48001122.jpg,400,225,TN99F2378,124,28,289,68
Cars219.png,600,450,KA03MG2784,132,173,458,242
licence.25352694-0b2e-11ec-9b7c-acde48001122.jpg,471,270,MH20BQ20,153,116,317,178
Cars59.png,400,300,MH46P1551,306,153,384,184
Cars153.png,471,270,MH20BQ20,153,114,314,162
Cars152.png,467,300,DL49AK49,98,249,203,291
Cars191.png,400,246,KA03AB3380,96,185,198,219
Cars387.png,430,286,HR26AZ5927,171,191,254,215
Cars433.png,1200,900,HR26EA0137,859,473,1037,531
Cars235.png,400,225,GJ03JL0126,155,142,245,169
